📊 خلاصه پوشه: Best_5m
تاریخ تولید,2026-06-28 02:24:29

ردیف,ترکیب کوین‌ها,معاملات,سودده,زیانده,وین‌ریت(%),بازده واقعی(%),بازده ویژه(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,وضعیت
1,BTCUSDT,6351,4253,2098,66.97,963.3179,963.3179,-18.00,9,-7.51,0.874,0.232,✅ عالی (≥۱%)
2,ETHUSDT,6293,4341,1952,68.98,1365.2640,1365.2640,-16.00,8,-9.00,0.975,0.310,✅ عالی (≥۱%)
3,PAXGUSDT,1451,827,624,57.00,-11.0914,-11.0914,-16.00,8,-63.53,0.732,-0.013,⚠️ منفی
4,SOLUSDT,2878,2033,845,70.64,820.9103,820.9103,-12.00,6,-4.34,1.086,0.346,✅ عالی (≥۱%)
5,XRPUSDT,4753,3211,1542,67.56,1061.7262,1061.7262,-16.00,8,-6.02,1.030,0.294,✅ عالی (≥۱%)
6,BTCUSDT_ETHUSDT,12644,8594,4050,67.97,2328.5820,2328.5820,-18.00,9,-9.00,0.925,0.272,✅ عالی (≥۱%)
7,BTCUSDT_PAXGUSDT,7802,5080,2722,65.11,952.2265,952.2265,-18.00,9,-70.75,0.852,0.189,✅ عالی (≥۱%)
8,BTCUSDT_SOLUSDT,9229,6286,2943,68.11,1784.2282,1784.2282,-18.00,9,-8.71,0.943,0.271,✅ عالی (≥۱%)
9,BTCUSDT_XRPUSDT,11104,7464,3640,67.22,2025.0442,2025.0442,-18.00,9,-7.51,0.941,0.260,✅ عالی (≥۱%)
10,ETHUSDT_PAXGUSDT,7744,5168,2576,66.74,1354.1726,1354.1726,-16.00,8,-65.12,0.938,0.254,✅ عالی (≥۱%)
11,ETHUSDT_SOLUSDT,9171,6374,2797,69.50,2186.1743,2186.1743,-16.00,8,-9.00,1.011,0.321,✅ عالی (≥۱%)
12,ETHUSDT_XRPUSDT,11046,7552,3494,68.37,2426.9903,2426.9903,-16.00,8,-9.00,0.998,0.302,✅ عالی (≥۱%)
13,PAXGUSDT_SOLUSDT,4329,2860,1469,66.07,809.8188,809.8188,-16.00,8,-63.53,0.989,0.243,✅ عالی (≥۱%)
14,PAXGUSDT_XRPUSDT,6204,4038,2166,65.09,1050.6348,1050.6348,-16.00,8,-63.53,0.972,0.231,✅ عالی (≥۱%)
15,SOLUSDT_XRPUSDT,7631,5244,2387,68.72,1882.6365,1882.6365,-16.00,8,-6.02,1.052,0.314,✅ عالی (≥۱%)
16,BTCUSDT_ETHUSDT_PAXGUSDT,14095,9421,4674,66.84,2317.4905,2317.4905,-18.00,9,-65.12,0.909,0.244,✅ عالی (≥۱%)
17,BTCUSDT_ETHUSDT_SOLUSDT,15522,10627,4895,68.46,3149.4923,3149.4923,-18.00,9,-9.00,0.956,0.286,✅ عالی (≥۱%)
18,BTCUSDT_ETHUSDT_XRPUSDT,17397,11805,5592,67.86,3390.3082,3390.3082,-18.00,9,-9.00,0.954,0.278,✅ عالی (≥۱%)
19,BTCUSDT_PAXGUSDT_SOLUSDT,10680,7113,3567,66.60,1773.1368,1773.1368,-18.00,9,-70.75,0.920,0.236,✅ عالی (≥۱%)
20,BTCUSDT_PAXGUSDT_XRPUSDT,12555,8291,4264,66.04,2013.9527,2013.9527,-18.00,9,-70.75,0.922,0.231,✅ عالی (≥۱%)
21,BTCUSDT_SOLUSDT_XRPUSDT,13982,9497,4485,67.92,2845.9544,2845.9544,-18.00,9,-8.71,0.973,0.279,✅ عالی (≥۱%)
22,ETHUSDT_PAXGUSDT_SOLUSDT,10622,7201,3421,67.79,2175.0829,2175.0829,-16.00,8,-65.12,0.981,0.281,✅ عالی (≥۱%)
23,ETHUSDT_PAXGUSDT_XRPUSDT,12497,8379,4118,67.05,2415.8988,2415.8988,-16.00,8,-65.12,0.974,0.270,✅ عالی (≥۱%)
24,ETHUSDT_SOLUSDT_XRPUSDT,13924,9585,4339,68.84,3247.9005,3247.9005,-16.00,8,-9.00,1.017,0.312,✅ عالی (≥۱%)
25,PAXGUSDT_SOLUSDT_XRPUSDT,9082,6071,3011,66.85,1871.5451,1871.5451,-16.00,8,-63.53,1.011,0.270,✅ عالی (≥۱%)
26,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT,16973,11454,5519,67.48,3138.4008,3138.4008,-18.00,9,-65.12,0.941,0.263,✅ عالی (≥۱%)
27,BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT,18848,12632,6216,67.02,3379.2168,3379.2168,-18.00,9,-65.12,0.940,0.257,✅ عالی (≥۱%)
28,BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,20275,13838,6437,68.25,4211.2185,4211.2185,-18.00,9,-9.00,0.973,0.288,✅ عالی (≥۱%)
29,BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,15433,10324,5109,66.90,2834.8630,2834.8630,-18.00,9,-70.75,0.955,0.255,✅ عالی (≥۱%)
30,ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,15375,10412,4963,67.72,3236.8091,3236.8091,-16.00,8,-65.12,0.996,0.285,✅ عالی (≥۱%)
31,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,21726,14665,7061,67.50,4200.1270,4200.1270,-18.00,9,-65.12,0.961,0.270,✅ عالی (≥۱%)

ترکیب‌های با بازدهی مثبت,30/31
ترکیب‌های با بازدهی ≥۱٪,30/31
میانگین بازدهی ویژه,2167.8075%
