📊 خلاصه پوشه: Best_15m
تاریخ تولید,2026-06-28 06:04:05

ردیف,ترکیب کوین‌ها,معاملات,سودده,زیانده,وین‌ریت(%),بازده واقعی(%),بازده ویژه(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,وضعیت
1,BTCUSDT,1047,709,338,67.72,362.3010,362.3010,-12.00,6,-5.03,1.318,0.392,✅ عالی (≥۱%)
2,ETHUSDT,927,617,310,66.56,335.8740,335.8740,-10.00,5,-6.24,1.380,0.387,✅ عالی (≥۱%)
3,PAXGUSDT,424,224,200,52.83,-36.5455,-36.5455,-20.00,10,-38.06,0.604,-0.174,⚠️ منفی
4,SOLUSDT,497,325,172,65.39,265.0312,265.0312,-12.00,6,-3.84,1.734,0.350,✅ عالی (≥۱%)
5,XRPUSDT,875,598,277,68.34,421.3134,421.3134,-8.00,4,-5.58,1.560,0.387,✅ عالی (≥۱%)
6,BTCUSDT_ETHUSDT,1974,1326,648,67.17,698.1750,698.1750,-12.00,6,-6.24,1.346,0.390,✅ عالی (≥۱%)
7,BTCUSDT_PAXGUSDT,1471,933,538,63.43,325.7555,325.7555,-20.00,10,-39.23,1.167,0.272,✅ عالی (≥۱%)
8,BTCUSDT_SOLUSDT,1544,1034,510,66.97,627.3322,627.3322,-12.00,6,-5.03,1.455,0.359,✅ عالی (≥۱%)
9,BTCUSDT_XRPUSDT,1922,1307,615,68.00,783.6144,783.6144,-12.00,6,-5.58,1.432,0.383,✅ عالی (≥۱%)
10,ETHUSDT_PAXGUSDT,1351,841,510,62.25,299.3285,299.3285,-20.00,10,-40.24,1.201,0.261,✅ عالی (≥۱%)
11,ETHUSDT_SOLUSDT,1424,942,482,66.15,600.9052,600.9052,-12.00,6,-6.24,1.507,0.358,✅ عالی (≥۱%)
12,ETHUSDT_XRPUSDT,1802,1215,587,67.43,757.1874,757.1874,-10.00,5,-6.24,1.471,0.383,✅ عالی (≥۱%)
13,PAXGUSDT_SOLUSDT,921,549,372,59.61,228.4857,228.4857,-20.00,10,-38.06,1.353,0.205,✅ عالی (≥۱%)
14,PAXGUSDT_XRPUSDT,1299,822,477,63.28,384.7679,384.7679,-20.00,10,-38.06,1.348,0.271,✅ عالی (≥۱%)
15,SOLUSDT_XRPUSDT,1372,923,449,67.27,686.3447,686.3447,-12.00,6,-5.58,1.620,0.370,✅ عالی (≥۱%)
16,BTCUSDT_ETHUSDT_PAXGUSDT,2398,1550,848,64.64,661.6295,661.6295,-20.00,10,-40.24,1.256,0.319,✅ عالی (≥۱%)
17,BTCUSDT_ETHUSDT_SOLUSDT,2471,1651,820,66.82,963.2062,963.2062,-12.00,6,-6.24,1.427,0.367,✅ عالی (≥۱%)
18,BTCUSDT_ETHUSDT_XRPUSDT,2849,1924,925,67.53,1119.4884,1119.4884,-12.00,6,-6.24,1.416,0.384,✅ عالی (≥۱%)
19,BTCUSDT_PAXGUSDT_SOLUSDT,1968,1258,710,63.92,590.7867,590.7867,-20.00,10,-39.23,1.332,0.286,✅ عالی (≥۱%)
20,BTCUSDT_PAXGUSDT_XRPUSDT,2346,1531,815,65.26,747.0689,747.0689,-20.00,10,-39.23,1.334,0.317,✅ عالی (≥۱%)
21,BTCUSDT_SOLUSDT_XRPUSDT,2419,1632,787,67.47,1048.6456,1048.6456,-12.00,6,-5.58,1.494,0.369,✅ عالی (≥۱%)
22,ETHUSDT_PAXGUSDT_SOLUSDT,1848,1166,682,63.10,564.3597,564.3597,-20.00,10,-40.24,1.368,0.282,✅ عالی (≥۱%)
23,ETHUSDT_PAXGUSDT_XRPUSDT,2226,1439,787,64.65,720.6419,720.6419,-20.00,10,-40.24,1.363,0.314,✅ عالی (≥۱%)
24,ETHUSDT_SOLUSDT_XRPUSDT,2299,1540,759,66.99,1022.2186,1022.2186,-12.00,6,-6.24,1.528,0.370,✅ عالی (≥۱%)
25,PAXGUSDT_SOLUSDT_XRPUSDT,1796,1147,649,63.86,649.7992,649.7992,-20.00,10,-38.06,1.469,0.294,✅ عالی (≥۱%)
26,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT,2895,1875,1020,64.77,926.6607,926.6607,-20.00,10,-40.24,1.348,0.316,✅ عالی (≥۱%)
27,BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT,3273,2148,1125,65.63,1082.9429,1082.9429,-20.00,10,-40.24,1.347,0.336,✅ عالی (≥۱%)
28,BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,3346,2249,1097,67.21,1384.5196,1384.5196,-12.00,6,-6.24,1.463,0.372,✅ عالی (≥۱%)
29,BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,2843,1856,987,65.28,1012.1001,1012.1001,-20.00,10,-39.23,1.410,0.319,✅ عالی (≥۱%)
30,ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,2723,1764,959,64.78,985.6731,985.6731,-20.00,10,-40.24,1.437,0.318,✅ عالی (≥۱%)
31,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,3770,2473,1297,65.60,1347.9741,1347.9741,-20.00,10,-40.24,1.403,0.333,✅ عالی (≥۱%)

ترکیب‌های با بازدهی مثبت,30/31
ترکیب‌های با بازدهی ≥۱٪,30/31
میانگین بازدهی ویژه,695.7286%
