گروه,پوشه,symbol,معاملات,سودده,زیانده,وین‌ریت(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,بازده واقعی(%),بازده ویژه(%),نوع
aggregated,Best_30m_XRPUSDT,XRPUSDT,304,204,100,67.11,-12.00,6,-4.58,1.790,0.439,178.1268,178.1268,اصلی
aggregated,Best_30m_XRPUSDT_INV,XRPUSDT,304,100,204,32.89,-24.00,12,-340.81,0.336,-0.883,-340.8080,-340.8080,معکوس
aggregated,Best_30m_BTCUSDT_ETHUSDT,BTCUSDT_ETHUSDT,656,443,213,67.53,-8.00,4,-3.49,1.581,0.437,311.4206,311.4206,اصلی
aggregated,Best_30m_BTCUSDT_ETHUSDT_INV,BTCUSDT_ETHUSDT,656,213,443,32.47,-26.00,13,-750.52,0.319,-0.922,-749.9224,-749.9224,معکوس
aggregated,Best_30m_BTCUSDT_PAXGUSDT,BTCUSDT_PAXGUSDT,530,327,203,61.70,-14.00,7,-19.53,1.338,0.282,141.1801,141.1801,اصلی
aggregated,Best_30m_BTCUSDT_PAXGUSDT_INV,BTCUSDT_PAXGUSDT,530,203,327,38.30,-20.00,10,-531.85,0.301,-0.791,-531.8488,-531.8488,معکوس
aggregated,Best_30m_BTCUSDT_SOLUSDT,BTCUSDT_SOLUSDT,524,351,173,66.98,-8.00,4,-3.33,1.713,0.444,276.6861,276.6861,اصلی
aggregated,Best_30m_BTCUSDT_SOLUSDT_INV,BTCUSDT_SOLUSDT,524,173,351,33.02,-28.00,14,-590.82,0.323,-0.901,-590.2156,-590.2156,معکوس
aggregated,Best_30m_BTCUSDT_XRPUSDT,BTCUSDT_XRPUSDT,668,446,222,66.77,-12.00,6,-4.58,1.649,0.417,330.7871,330.7871,اصلی
aggregated,Best_30m_BTCUSDT_XRPUSDT_INV,BTCUSDT_XRPUSDT,668,222,446,33.23,-24.00,12,-748.93,0.322,-0.895,-748.9325,-748.9325,معکوس
aggregated,Best_30m_ETHUSDT_PAXGUSDT,ETHUSDT_PAXGUSDT,458,286,172,62.45,-14.00,7,-21.05,1.433,0.319,147.2800,147.2800,اصلی
aggregated,Best_30m_ETHUSDT_PAXGUSDT_INV,ETHUSDT_PAXGUSDT,458,172,286,37.55,-26.00,13,-465.52,0.310,-0.798,-465.5222,-465.5222,معکوس
aggregated,Best_30m_ETHUSDT_SOLUSDT,ETHUSDT_SOLUSDT,452,310,142,68.58,-8.00,4,-3.49,1.806,0.499,282.7860,282.7860,اصلی
aggregated,Best_30m_ETHUSDT_SOLUSDT_INV,ETHUSDT_SOLUSDT,452,142,310,31.42,-28.00,14,-524.49,0.338,-0.927,-523.8890,-523.8890,معکوس
aggregated,Best_30m_ETHUSDT_XRPUSDT,ETHUSDT_XRPUSDT,596,405,191,67.95,-12.00,6,-4.58,1.719,0.456,336.8871,336.8871,اصلی
aggregated,Best_30m_ETHUSDT_XRPUSDT_INV,ETHUSDT_XRPUSDT,596,191,405,32.05,-26.00,13,-682.61,0.333,-0.913,-682.6059,-682.6059,معکوس
aggregated,Best_30m_PAXGUSDT_SOLUSDT,PAXGUSDT_SOLUSDT,326,194,132,59.51,-14.00,7,-18.93,1.612,0.298,112.5455,112.5455,اصلی
aggregated,Best_30m_PAXGUSDT_SOLUSDT_INV,PAXGUSDT_SOLUSDT,326,132,194,40.49,-28.00,14,-307.02,0.311,-0.724,-305.8154,-305.8154,معکوس
aggregated,Best_30m_PAXGUSDT_XRPUSDT,PAXGUSDT_XRPUSDT,470,289,181,61.49,-14.00,7,-18.93,1.546,0.305,166.6466,166.6466,اصلی
aggregated,Best_30m_PAXGUSDT_XRPUSDT_INV,PAXGUSDT_XRPUSDT,470,181,289,38.51,-24.00,12,-465.13,0.313,-0.767,-464.5323,-464.5323,معکوس
aggregated,Best_30m_SOLUSDT_XRPUSDT,SOLUSDT_XRPUSDT,464,313,151,67.46,-12.00,6,-4.58,1.896,0.475,302.1526,302.1526,اصلی
aggregated,Best_30m_SOLUSDT_XRPUSDT_INV,SOLUSDT_XRPUSDT,464,151,313,32.54,-28.00,14,-522.90,0.341,-0.888,-522.8991,-522.8991,معکوس
aggregated,Best_30m_BTCUSDT_ETHUSDT_PAXGUSDT,BTCUSDT_ETHUSDT_PAXGUSDT,822,528,294,64.23,-14.00,7,-21.05,1.473,0.356,299.9403,299.9403,اصلی
aggregated,Best_30m_BTCUSDT_ETHUSDT_PAXGUSDT_INV,BTCUSDT_ETHUSDT_PAXGUSDT,822,294,528,35.77,-26.00,13,-873.65,0.310,-0.843,-873.6467,-873.6467,معکوس
aggregated,Best_30m_BTCUSDT_ETHUSDT_SOLUSDT,BTCUSDT_ETHUSDT_SOLUSDT,816,552,264,67.65,-8.00,4,-3.49,1.689,0.457,435.4463,435.4463,اصلی
aggregated,Best_30m_BTCUSDT_ETHUSDT_SOLUSDT_INV,BTCUSDT_ETHUSDT_SOLUSDT,816,264,552,32.35,-28.00,14,-932.61,0.326,-0.917,-932.0135,-932.0135,معکوس
aggregated,Best_30m_BTCUSDT_ETHUSDT_XRPUSDT,BTCUSDT_ETHUSDT_XRPUSDT,960,647,313,67.40,-12.00,6,-4.58,1.649,0.436,489.5474,489.5474,اصلی
aggregated,Best_30m_BTCUSDT_ETHUSDT_XRPUSDT_INV,BTCUSDT_ETHUSDT_XRPUSDT,960,313,647,32.60,-26.00,13,-1090.73,0.325,-0.910,-1090.7304,-1090.7304,معکوس
aggregated,Best_30m_BTCUSDT_PAXGUSDT_SOLUSDT,BTCUSDT_PAXGUSDT_SOLUSDT,690,436,254,63.19,-14.00,7,-19.53,1.560,0.349,265.2058,265.2058,اصلی
aggregated,Best_30m_BTCUSDT_PAXGUSDT_SOLUSDT_INV,BTCUSDT_PAXGUSDT_SOLUSDT,690,254,436,36.81,-28.00,14,-714.54,0.311,-0.815,-713.9399,-713.9399,معکوس
aggregated,Best_30m_BTCUSDT_PAXGUSDT_XRPUSDT,BTCUSDT_PAXGUSDT_XRPUSDT,834,531,303,63.67,-14.00,7,-19.53,1.533,0.344,319.3069,319.3069,اصلی
aggregated,Best_30m_BTCUSDT_PAXGUSDT_XRPUSDT_INV,BTCUSDT_PAXGUSDT_XRPUSDT,834,303,531,36.33,-24.00,12,-872.66,0.312,-0.824,-872.6568,-872.6568,معکوس
aggregated,Best_30m_BTCUSDT_SOLUSDT_XRPUSDT,BTCUSDT_SOLUSDT_XRPUSDT,828,555,273,67.03,-12.00,6,-4.58,1.742,0.442,454.8129,454.8129,اصلی
aggregated,Best_30m_BTCUSDT_SOLUSDT_XRPUSDT_INV,BTCUSDT_SOLUSDT_XRPUSDT,828,273,555,32.97,-28.00,14,-931.03,0.328,-0.895,-931.0236,-931.0236,معکوس
aggregated,Best_30m_ETHUSDT_PAXGUSDT_SOLUSDT,ETHUSDT_PAXGUSDT_SOLUSDT,618,395,223,63.92,-14.00,7,-21.05,1.640,0.382,271.3058,271.3058,اصلی
aggregated,Best_30m_ETHUSDT_PAXGUSDT_SOLUSDT_INV,ETHUSDT_PAXGUSDT_SOLUSDT,618,223,395,36.08,-28.00,14,-648.21,0.319,-0.822,-647.6133,-647.6133,معکوس
aggregated,Best_30m_ETHUSDT_PAXGUSDT_XRPUSDT,ETHUSDT_PAXGUSDT_XRPUSDT,762,490,272,64.30,-14.00,7,-21.05,1.595,0.370,325.4068,325.4068,اصلی
aggregated,Best_30m_ETHUSDT_PAXGUSDT_XRPUSDT_INV,ETHUSDT_PAXGUSDT_XRPUSDT,762,272,490,35.70,-26.00,13,-806.33,0.319,-0.831,-806.3302,-806.3302,معکوس
aggregated,Best_30m_ETHUSDT_SOLUSDT_XRPUSDT,ETHUSDT_SOLUSDT_XRPUSDT,756,514,242,67.99,-12.00,6,-4.58,1.800,0.474,460.9128,460.9128,اصلی
aggregated,Best_30m_ETHUSDT_SOLUSDT_XRPUSDT_INV,ETHUSDT_SOLUSDT_XRPUSDT,756,242,514,32.01,-28.00,14,-864.70,0.337,-0.909,-864.6970,-864.6970,معکوس
aggregated,Best_30m_PAXGUSDT_SOLUSDT_XRPUSDT,PAXGUSDT_SOLUSDT_XRPUSDT,630,398,232,63.17,-14.00,7,-18.93,1.717,0.369,290.6723,290.6723,اصلی
aggregated,Best_30m_PAXGUSDT_SOLUSDT_XRPUSDT_INV,PAXGUSDT_SOLUSDT_XRPUSDT,630,232,398,36.83,-28.00,14,-647.22,0.322,-0.798,-646.6234,-646.6234,معکوس
aggregated,Best_30m_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT,982,637,345,64.87,-14.00,7,-21.05,1.594,0.388,423.9661,423.9661,اصلی
aggregated,Best_30m_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_INV,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT,982,345,637,35.13,-28.00,14,-1056.34,0.316,-0.852,-1055.7378,-1055.7378,معکوس
aggregated,Best_30m_BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT,BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT,1126,732,394,65.01,-14.00,7,-21.05,1.569,0.379,478.0672,478.0672,اصلی
aggregated,Best_30m_BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT_INV,BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT,1126,394,732,34.99,-26.00,13,-1214.46,0.317,-0.854,-1214.4547,-1214.4547,معکوس
aggregated,Best_30m_BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,1120,756,364,67.50,-12.00,6,-4.58,1.717,0.451,613.5732,613.5732,اصلی
aggregated,Best_30m_BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT_INV,BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,1120,364,756,32.50,-28.00,14,-1272.82,0.329,-0.908,-1272.8215,-1272.8215,معکوس
aggregated,Best_30m_BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,994,640,354,64.39,-14.00,7,-19.53,1.642,0.378,443.3326,443.3326,اصلی
aggregated,Best_30m_BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT_INV,BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,994,354,640,35.61,-28.00,14,-1054.75,0.318,-0.836,-1054.7479,-1054.7479,معکوس
aggregated,Best_30m_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,922,599,323,64.97,-14.00,7,-21.05,1.696,0.401,449.4326,449.4326,اصلی
aggregated,Best_30m_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT_INV,ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,922,323,599,35.03,-28.00,14,-988.42,0.324,-0.842,-988.4213,-988.4213,معکوس
aggregated,Best_30m_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,1286,841,445,65.40,-14.00,7,-21.05,1.645,0.400,602.0929,602.0929,اصلی
aggregated,Best_30m_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT_INV,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,1286,445,841,34.60,-28.00,14,-1396.55,0.321,-0.860,-1396.5458,-1396.5458,معکوس
aggregated,Best_5m_BTCUSDT,BTCUSDT,6351,4253,2098,66.97,-18.00,9,-7.51,0.874,0.232,963.3179,963.3179,اصلی
aggregated,Best_5m_BTCUSDT_INV,BTCUSDT,6351,2098,4253,33.03,-40.00,20,-7257.02,0.298,-0.936,-7256.4160,-7256.4160,معکوس
aggregated,Best_5m_ETHUSDT,ETHUSDT,6293,4341,1952,68.98,-16.00,8,-9.00,0.975,0.310,1365.2640,1365.2640,اصلی
aggregated,Best_5m_ETHUSDT_INV,ETHUSDT,6293,1952,4341,31.02,-40.00,20,-7514.13,0.299,-0.993,-7512.9229,-7512.9229,معکوس
aggregated,Best_5m_PAXGUSDT,PAXGUSDT,1451,827,624,57.00,-16.00,8,-63.53,0.732,-0.013,-11.0914,-11.0914,اصلی
aggregated,Best_5m_PAXGUSDT_INV,PAXGUSDT,1451,624,827,43.00,-22.00,11,-1289.24,0.293,-0.693,-1288.4206,-1288.4206,معکوس
aggregated,Best_5m_SOLUSDT,SOLUSDT,2878,2033,845,70.64,-12.00,6,-4.34,1.086,0.346,820.9103,820.9103,اصلی
aggregated,Best_5m_SOLUSDT_INV,SOLUSDT,2878,845,2033,29.36,-44.00,22,-3560.01,0.301,-1.043,-3557.0070,-3557.0070,معکوس
aggregated,Best_5m_XRPUSDT,XRPUSDT,4753,3211,1542,67.56,-16.00,8,-6.02,1.030,0.294,1061.7262,1061.7262,اصلی
aggregated,Best_5m_XRPUSDT_INV,XRPUSDT,4753,1542,3211,32.44,-38.00,19,-5495.92,0.301,-0.949,-5494.7197,-5494.7197,معکوس
aggregated,Best_5m_BTCUSDT_ETHUSDT,BTCUSDT_ETHUSDT,12644,8594,4050,67.97,-18.00,9,-9.00,0.925,0.272,2328.5820,2328.5820,اصلی
aggregated,Best_5m_BTCUSDT_ETHUSDT_INV,BTCUSDT_ETHUSDT,12644,4050,8594,32.03,-40.00,20,-14770.55,0.299,-0.964,-14769.3389,-14769.3389,معکوس
aggregated,Best_5m_BTCUSDT_PAXGUSDT,BTCUSDT_PAXGUSDT,7802,5080,2722,65.11,-18.00,9,-70.75,0.852,0.189,952.2265,952.2265,اصلی
aggregated,Best_5m_BTCUSDT_PAXGUSDT_INV,BTCUSDT_PAXGUSDT,7802,2722,5080,34.89,-40.00,20,-8544.86,0.297,-0.886,-8544.8366,-8544.8366,معکوس
aggregated,Best_5m_BTCUSDT_SOLUSDT,BTCUSDT_SOLUSDT,9229,6286,2943,68.11,-18.00,9,-8.71,0.943,0.271,1784.2282,1784.2282,اصلی
aggregated,Best_5m_BTCUSDT_SOLUSDT_INV,BTCUSDT_SOLUSDT,9229,2943,6286,31.89,-44.00,22,-10815.23,0.299,-0.968,-10813.4230,-10813.4230,معکوس
aggregated,Best_5m_BTCUSDT_XRPUSDT,BTCUSDT_XRPUSDT,11104,7464,3640,67.22,-18.00,9,-7.51,0.941,0.260,2025.0442,2025.0442,اصلی
aggregated,Best_5m_BTCUSDT_XRPUSDT_INV,BTCUSDT_XRPUSDT,11104,3640,7464,32.78,-40.00,20,-12752.35,0.299,-0.941,-12751.1357,-12751.1357,معکوس
aggregated,Best_5m_ETHUSDT_PAXGUSDT,ETHUSDT_PAXGUSDT,7744,5168,2576,66.74,-16.00,8,-65.12,0.938,0.254,1354.1726,1354.1726,اصلی
aggregated,Best_5m_ETHUSDT_PAXGUSDT_INV,ETHUSDT_PAXGUSDT,7744,2576,5168,33.26,-40.00,20,-8801.36,0.298,-0.929,-8801.3435,-8801.3435,معکوس
aggregated,Best_5m_ETHUSDT_SOLUSDT,ETHUSDT_SOLUSDT,9171,6374,2797,69.50,-16.00,8,-9.00,1.011,0.321,2186.1743,2186.1743,اصلی
aggregated,Best_5m_ETHUSDT_SOLUSDT_INV,ETHUSDT_SOLUSDT,9171,2797,6374,30.50,-44.00,22,-11071.74,0.300,-1.008,-11069.9299,-11069.9299,معکوس
aggregated,Best_5m_ETHUSDT_XRPUSDT,ETHUSDT_XRPUSDT,11046,7552,3494,68.37,-16.00,8,-9.00,0.998,0.302,2426.9903,2426.9903,اصلی
aggregated,Best_5m_ETHUSDT_XRPUSDT_INV,ETHUSDT_XRPUSDT,11046,3494,7552,31.63,-40.00,20,-13008.85,0.300,-0.974,-13007.6426,-13007.6426,معکوس
aggregated,Best_5m_PAXGUSDT_SOLUSDT,PAXGUSDT_SOLUSDT,4329,2860,1469,66.07,-16.00,8,-63.53,0.989,0.243,809.8188,809.8188,اصلی
aggregated,Best_5m_PAXGUSDT_SOLUSDT_INV,PAXGUSDT_SOLUSDT,4329,1469,2860,33.93,-44.00,22,-4848.04,0.298,-0.910,-4845.4276,-4845.4276,معکوس
aggregated,Best_5m_PAXGUSDT_XRPUSDT,PAXGUSDT_XRPUSDT,6204,4038,2166,65.09,-16.00,8,-63.53,0.972,0.231,1050.6348,1050.6348,اصلی
aggregated,Best_5m_PAXGUSDT_XRPUSDT_INV,PAXGUSDT_XRPUSDT,6204,2166,4038,34.91,-38.00,19,-6785.15,0.298,-0.883,-6783.1403,-6783.1403,معکوس
aggregated,Best_5m_SOLUSDT_XRPUSDT,SOLUSDT_XRPUSDT,7631,5244,2387,68.72,-16.00,8,-6.02,1.052,0.314,1882.6365,1882.6365,اصلی
aggregated,Best_5m_SOLUSDT_XRPUSDT_INV,SOLUSDT_XRPUSDT,7631,2387,5244,31.28,-44.00,22,-9054.13,0.301,-0.983,-9051.7267,-9051.7267,معکوس
aggregated,Best_5m_BTCUSDT_ETHUSDT_PAXGUSDT,BTCUSDT_ETHUSDT_PAXGUSDT,14095,9421,4674,66.84,-18.00,9,-65.12,0.909,0.244,2317.4905,2317.4905,اصلی
aggregated,Best_5m_BTCUSDT_ETHUSDT_PAXGUSDT_INV,BTCUSDT_ETHUSDT_PAXGUSDT,14095,4674,9421,33.16,-40.00,20,-16057.79,0.298,-0.932,-16057.7595,-16057.7595,معکوس
aggregated,Best_5m_BTCUSDT_ETHUSDT_SOLUSDT,BTCUSDT_ETHUSDT_SOLUSDT,15522,10627,4895,68.46,-18.00,9,-9.00,0.956,0.286,3149.4923,3149.4923,اصلی
aggregated,Best_5m_BTCUSDT_ETHUSDT_SOLUSDT_INV,BTCUSDT_ETHUSDT_SOLUSDT,15522,4895,10627,31.54,-44.00,22,-18328.16,0.299,-0.978,-18326.3459,-18326.3459,معکوس
aggregated,Best_5m_BTCUSDT_ETHUSDT_XRPUSDT,BTCUSDT_ETHUSDT_XRPUSDT,17397,11805,5592,67.86,-18.00,9,-9.00,0.954,0.278,3390.3082,3390.3082,اصلی
aggregated,Best_5m_BTCUSDT_ETHUSDT_XRPUSDT_INV,BTCUSDT_ETHUSDT_XRPUSDT,17397,5592,11805,32.14,-40.00,20,-20265.27,0.299,-0.960,-20264.0586,-20264.0586,معکوس
aggregated,Best_5m_BTCUSDT_PAXGUSDT_SOLUSDT,BTCUSDT_PAXGUSDT_SOLUSDT,10680,7113,3567,66.60,-18.00,9,-70.75,0.920,0.236,1773.1368,1773.1368,اصلی
aggregated,Best_5m_BTCUSDT_PAXGUSDT_SOLUSDT_INV,BTCUSDT_PAXGUSDT_SOLUSDT,10680,3567,7113,33.40,-44.00,22,-12103.66,0.298,-0.925,-12101.8436,-12101.8436,معکوس
aggregated,Best_5m_BTCUSDT_PAXGUSDT_XRPUSDT,BTCUSDT_PAXGUSDT_XRPUSDT,12555,8291,4264,66.04,-18.00,9,-70.75,0.922,0.231,2013.9527,2013.9527,اصلی
aggregated,Best_5m_BTCUSDT_PAXGUSDT_XRPUSDT_INV,BTCUSDT_PAXGUSDT_XRPUSDT,12555,4264,8291,33.96,-40.00,20,-14040.77,0.298,-0.909,-14039.5563,-14039.5563,معکوس
aggregated,Best_5m_BTCUSDT_SOLUSDT_XRPUSDT,BTCUSDT_SOLUSDT_XRPUSDT,13982,9497,4485,67.92,-18.00,9,-8.71,0.973,0.279,2845.9544,2845.9544,اصلی
aggregated,Best_5m_BTCUSDT_SOLUSDT_XRPUSDT_INV,BTCUSDT_SOLUSDT_XRPUSDT,13982,4485,9497,32.08,-44.00,22,-16309.36,0.299,-0.961,-16308.1427,-16308.1427,معکوس
aggregated,Best_5m_ETHUSDT_PAXGUSDT_SOLUSDT,ETHUSDT_PAXGUSDT_SOLUSDT,10622,7201,3421,67.79,-16.00,8,-65.12,0.981,0.281,2175.0829,2175.0829,اصلی
aggregated,Best_5m_ETHUSDT_PAXGUSDT_SOLUSDT_INV,ETHUSDT_PAXGUSDT_SOLUSDT,10622,3421,7201,32.21,-44.00,22,-12360.16,0.299,-0.958,-12358.3505,-12358.3505,معکوس
aggregated,Best_5m_ETHUSDT_PAXGUSDT_XRPUSDT,ETHUSDT_PAXGUSDT_XRPUSDT,12497,8379,4118,67.05,-16.00,8,-65.12,0.974,0.270,2415.8988,2415.8988,اصلی
aggregated,Best_5m_ETHUSDT_PAXGUSDT_XRPUSDT_INV,ETHUSDT_PAXGUSDT_XRPUSDT,12497,4118,8379,32.95,-40.00,20,-14297.27,0.299,-0.937,-14296.0632,-14296.0632,معکوس
aggregated,Best_5m_ETHUSDT_SOLUSDT_XRPUSDT,ETHUSDT_SOLUSDT_XRPUSDT,13924,9585,4339,68.84,-16.00,8,-9.00,1.017,0.312,3247.9005,3247.9005,اصلی
aggregated,Best_5m_ETHUSDT_SOLUSDT_XRPUSDT_INV,ETHUSDT_SOLUSDT_XRPUSDT,13924,4339,9585,31.16,-44.00,22,-16565.86,0.300,-0.988,-16564.6496,-16564.6496,معکوس
aggregated,Best_5m_PAXGUSDT_SOLUSDT_XRPUSDT,PAXGUSDT_SOLUSDT_XRPUSDT,9082,6071,3011,66.85,-16.00,8,-63.53,1.011,0.270,1871.5451,1871.5451,اصلی
aggregated,Best_5m_PAXGUSDT_SOLUSDT_XRPUSDT_INV,PAXGUSDT_SOLUSDT_XRPUSDT,9082,3011,6071,33.15,-44.00,22,-10342.17,0.299,-0.930,-10340.1473,-10340.1473,معکوس
aggregated,Best_5m_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT,16973,11454,5519,67.48,-18.00,9,-65.12,0.941,0.263,3138.4008,3138.4008,اصلی
aggregated,Best_5m_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_INV,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT,16973,5519,11454,32.52,-44.00,22,-19616.59,0.298,-0.950,-19614.7665,-19614.7665,معکوس
aggregated,Best_5m_BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT,BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT,18848,12632,6216,67.02,-18.00,9,-65.12,0.940,0.257,3379.2168,3379.2168,اصلی
aggregated,Best_5m_BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT_INV,BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT,18848,6216,12632,32.98,-40.00,20,-21553.70,0.299,-0.936,-21552.4792,-21552.4792,معکوس
aggregated,Best_5m_BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,20275,13838,6437,68.25,-18.00,9,-9.00,0.973,0.288,4211.2185,4211.2185,اصلی
aggregated,Best_5m_BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT_INV,BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,20275,6437,13838,31.75,-44.00,22,-23822.29,0.299,-0.971,-23821.0656,-23821.0656,معکوس
aggregated,Best_5m_BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,15433,10324,5109,66.90,-18.00,9,-70.75,0.955,0.255,2834.8630,2834.8630,اصلی
aggregated,Best_5m_BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT_INV,BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,15433,5109,10324,33.10,-44.00,22,-17597.78,0.299,-0.933,-17596.5633,-17596.5633,معکوس
aggregated,Best_5m_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,15375,10412,4963,67.72,-16.00,8,-65.12,0.996,0.285,3236.8091,3236.8091,اصلی
aggregated,Best_5m_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT_INV,ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,15375,4963,10412,32.28,-44.00,22,-17854.29,0.299,-0.955,-17853.0702,-17853.0702,معکوس
aggregated,Best_5m_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,21726,14665,7061,67.50,-18.00,9,-65.12,0.961,0.270,4200.1270,4200.1270,اصلی
aggregated,Best_5m_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT_INV,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,21726,7061,14665,32.50,-44.00,22,-25110.71,0.299,-0.950,-25109.4862,-25109.4862,معکوس
aggregated,Dtsv_BTCUSDT,BTCUSDT,12,4,8,33.33,-6.00,3,-3.14,0.694,-0.484,-3.1364,-3.1364,اصلی
aggregated,Dtsv_BTCUSDT_INV,BTCUSDT,12,8,4,66.67,-4.00,2,-6.20,0.300,-0.208,-3.1984,-3.1984,معکوس
aggregated,Dtsv_ETHUSDT,ETHUSDT,9,4,5,44.44,-10.00,5,-3.00,0.471,-0.447,-1.8715,-1.8715,اصلی
aggregated,Dtsv_ETHUSDT_INV,ETHUSDT,9,5,4,55.56,-8.00,4,-8.00,0.300,-0.405,-4.9990,-4.9990,معکوس
aggregated,Dtsv_SOLUSDT,SOLUSDT,2,1,1,50.00,-2.00,1,-0.60,0.500,-0.236,-0.3000,-0.3000,اصلی
aggregated,Dtsv_SOLUSDT_INV,SOLUSDT,2,1,1,50.00,-2.00,1,-2.00,0.300,-0.381,-1.3998,-1.3998,معکوس
aggregated,Dtsv_XRPUSDT,XRPUSDT,7,6,1,85.71,-2.00,1,-0.60,1.302,0.575,4.0887,4.0887,اصلی
aggregated,Dtsv_XRPUSDT_INV,XRPUSDT,7,1,6,14.29,-10.00,5,-11.40,0.300,-1.657,-11.3998,-11.3998,معکوس
aggregated,Dtsv_BTCUSDT_ETHUSDT,BTCUSDT_ETHUSDT,21,8,13,38.10,-10.00,5,-5.01,0.582,-0.479,-5.0079,-5.0079,اصلی
aggregated,Dtsv_BTCUSDT_ETHUSDT_INV,BTCUSDT_ETHUSDT,21,13,8,61.90,-8.00,4,-12.40,0.300,-0.302,-8.1974,-8.1974,معکوس
aggregated,Dtsv_BTCUSDT_SOLUSDT,BTCUSDT_SOLUSDT,14,5,9,35.71,-6.00,3,-3.44,0.655,-0.464,-3.4365,-3.4365,اصلی
aggregated,Dtsv_BTCUSDT_SOLUSDT_INV,BTCUSDT_SOLUSDT,14,9,5,64.29,-4.00,2,-6.40,0.300,-0.254,-4.5982,-4.5982,معکوس
aggregated,Dtsv_BTCUSDT_XRPUSDT,BTCUSDT_XRPUSDT,19,10,9,52.63,-6.00,3,-3.14,1.059,0.060,0.9523,0.9523,اصلی
aggregated,Dtsv_BTCUSDT_XRPUSDT_INV,BTCUSDT_XRPUSDT,19,9,10,47.37,-10.00,5,-15.80,0.300,-0.576,-14.5982,-14.5982,معکوس
aggregated,Dtsv_ETHUSDT_SOLUSDT,ETHUSDT_SOLUSDT,11,5,6,45.45,-10.00,5,-3.30,0.476,-0.426,-2.1715,-2.1715,اصلی
aggregated,Dtsv_ETHUSDT_SOLUSDT_INV,ETHUSDT_SOLUSDT,11,6,5,54.55,-8.00,4,-8.00,0.300,-0.428,-6.3988,-6.3988,معکوس
aggregated,Dtsv_ETHUSDT_XRPUSDT,ETHUSDT_XRPUSDT,16,10,6,62.50,-10.00,5,-3.00,0.969,0.166,2.2173,2.2173,اصلی
aggregated,Dtsv_ETHUSDT_XRPUSDT_INV,ETHUSDT_XRPUSDT,16,6,10,37.50,-10.00,5,-16.40,0.300,-0.788,-16.3988,-16.3988,معکوس
