گروه,پوشه,symbol,معاملات,سودده,زیانده,وین‌ریت(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,بازده واقعی(%),بازده ویژه(%),نوع
aggregated,Best_15m_BTCUSDT_ETHUSDT_SOLUSDT_INV,BTCUSDT_ETHUSDT_SOLUSDT,2471,820,1651,33.18,-44.00,22,-2788.37,0.314,-0.909,-2787.7702,-2787.7702,معکوس
aggregated,Best_15m_BTCUSDT_ETHUSDT_XRPUSDT,BTCUSDT_ETHUSDT_XRPUSDT,2849,1924,925,67.53,-12.00,6,-6.24,1.416,0.384,1119.4884,1119.4884,اصلی
aggregated,Best_15m_BTCUSDT_ETHUSDT_XRPUSDT_INV,BTCUSDT_ETHUSDT_XRPUSDT,2849,925,1924,32.47,-44.00,22,-3272.25,0.311,-0.933,-3272.2424,-3272.2424,معکوس
aggregated,Best_15m_BTCUSDT_PAXGUSDT_SOLUSDT,BTCUSDT_PAXGUSDT_SOLUSDT,1968,1258,710,63.92,-20.00,10,-39.23,1.332,0.286,590.7867,590.7867,اصلی
aggregated,Best_15m_BTCUSDT_PAXGUSDT_SOLUSDT_INV,BTCUSDT_PAXGUSDT_SOLUSDT,1968,710,1258,36.08,-44.00,22,-2081.95,0.306,-0.840,-2081.3443,-2081.3443,معکوس
aggregated,Best_15m_BTCUSDT_PAXGUSDT_XRPUSDT,BTCUSDT_PAXGUSDT_XRPUSDT,2346,1531,815,65.26,-20.00,10,-39.23,1.334,0.317,747.0689,747.0689,اصلی
aggregated,Best_15m_BTCUSDT_PAXGUSDT_XRPUSDT_INV,BTCUSDT_PAXGUSDT_XRPUSDT,2346,815,1531,34.74,-44.00,22,-2565.82,0.304,-0.878,-2565.8165,-2565.8165,معکوس
aggregated,Best_15m_BTCUSDT_SOLUSDT_XRPUSDT,BTCUSDT_SOLUSDT_XRPUSDT,2419,1632,787,67.47,-12.00,6,-5.58,1.494,0.369,1048.6456,1048.6456,اصلی
aggregated,Best_15m_BTCUSDT_SOLUSDT_XRPUSDT_INV,BTCUSDT_SOLUSDT_XRPUSDT,2419,787,1632,32.53,-44.00,22,-2764.19,0.318,-0.921,-2764.1926,-2764.1926,معکوس
aggregated,Best_15m_ETHUSDT_PAXGUSDT_SOLUSDT,ETHUSDT_PAXGUSDT_SOLUSDT,1848,1166,682,63.10,-20.00,10,-40.24,1.368,0.282,564.3597,564.3597,اصلی
aggregated,Best_15m_ETHUSDT_PAXGUSDT_SOLUSDT_INV,ETHUSDT_PAXGUSDT_SOLUSDT,1848,682,1166,36.90,-38.00,19,-1910.92,0.309,-0.815,-1910.3219,-1910.3219,معکوس
aggregated,Best_15m_ETHUSDT_PAXGUSDT_XRPUSDT,ETHUSDT_PAXGUSDT_XRPUSDT,2226,1439,787,64.65,-20.00,10,-40.24,1.363,0.314,720.6419,720.6419,اصلی
aggregated,Best_15m_ETHUSDT_PAXGUSDT_XRPUSDT_INV,ETHUSDT_PAXGUSDT_XRPUSDT,2226,787,1439,35.35,-38.00,19,-2394.80,0.307,-0.858,-2394.7941,-2394.7941,معکوس
aggregated,Best_15m_ETHUSDT_SOLUSDT_XRPUSDT,ETHUSDT_SOLUSDT_XRPUSDT,2299,1540,759,66.99,-12.00,6,-6.24,1.528,0.370,1022.2186,1022.2186,اصلی
aggregated,Best_15m_ETHUSDT_SOLUSDT_XRPUSDT_INV,ETHUSDT_SOLUSDT_XRPUSDT,2299,759,1540,33.01,-38.00,19,-2593.17,0.321,-0.903,-2593.1702,-2593.1702,معکوس
