رتبه,پوشه,گروه,نوع,تعداد نمادها,بازده واقعی(%),وین‌ریت(%),حداکثر ضرر متوالی(%),شارپ,کل معاملات,امتیاز,وضعیت
1,Dtsv_XRPUSDT,aggregated,اصلی,1,4.0887%,85.71,-2.00,0.575,7,100.0/100,عالی ★★★★★
2,Dtsv_SOLUSDT_XRPUSDT,aggregated,اصلی,1,3.7887%,77.78,-2.00,0.436,9,100.0/100,عالی ★★★★★
3,Best_15m_BTCUSDT,aggregated,اصلی,1,362.3010%,67.72,-12.00,0.392,1047,94.0/100,عالی ★★★★★
4,Best_15m_SOLUSDT,aggregated,اصلی,1,265.0312%,65.39,-12.00,0.350,497,94.0/100,عالی ★★★★★
5,Best_15m_BTCUSDT_ETHUSDT,aggregated,اصلی,1,698.1750%,67.17,-12.00,0.390,1974,94.0/100,عالی ★★★★★
6,Best_15m_BTCUSDT_SOLUSDT,aggregated,اصلی,1,627.3322%,66.97,-12.00,0.359,1544,94.0/100,عالی ★★★★★
7,Best_15m_BTCUSDT_XRPUSDT,aggregated,اصلی,1,783.6144%,68.00,-12.00,0.383,1922,94.0/100,عالی ★★★★★
8,Best_15m_ETHUSDT_SOLUSDT,aggregated,اصلی,1,600.9052%,66.15,-12.00,0.358,1424,94.0/100,عالی ★★★★★
9,Best_15m_SOLUSDT_XRPUSDT,aggregated,اصلی,1,686.3447%,67.27,-12.00,0.370,1372,94.0/100,عالی ★★★★★
10,Best_15m_BTCUSDT_ETHUSDT_SOLUSDT,aggregated,اصلی,1,963.2062%,66.82,-12.00,0.367,2471,94.0/100,عالی ★★★★★
11,Best_15m_BTCUSDT_ETHUSDT_XRPUSDT,aggregated,اصلی,1,1119.4884%,67.53,-12.00,0.384,2849,94.0/100,عالی ★★★★★
12,Best_15m_BTCUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,1048.6456%,67.47,-12.00,0.369,2419,94.0/100,عالی ★★★★★
13,Best_15m_ETHUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,1022.2186%,66.99,-12.00,0.370,2299,94.0/100,عالی ★★★★★
14,Best_15m_BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,1384.5196%,67.21,-12.00,0.372,3346,94.0/100,عالی ★★★★★
15,Best_1h_XRPUSDT,aggregated,اصلی,1,83.4589%,70.00,-6.00,0.556,90,94.0/100,عالی ★★★★★
16,Best_30m_XRPUSDT,aggregated,اصلی,1,178.1268%,67.11,-12.00,0.439,304,94.0/100,عالی ★★★★★
17,Best_30m_BTCUSDT_XRPUSDT,aggregated,اصلی,1,330.7871%,66.77,-12.00,0.417,668,94.0/100,عالی ★★★★★
18,Best_30m_ETHUSDT_XRPUSDT,aggregated,اصلی,1,336.8871%,67.95,-12.00,0.456,596,94.0/100,عالی ★★★★★
19,Best_30m_SOLUSDT_XRPUSDT,aggregated,اصلی,1,302.1526%,67.46,-12.00,0.475,464,94.0/100,عالی ★★★★★
20,Best_30m_BTCUSDT_ETHUSDT_XRPUSDT,aggregated,اصلی,1,489.5474%,67.40,-12.00,0.436,960,94.0/100,عالی ★★★★★
21,Best_30m_BTCUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,454.8129%,67.03,-12.00,0.442,828,94.0/100,عالی ★★★★★
22,Best_30m_ETHUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,460.9128%,67.99,-12.00,0.474,756,94.0/100,عالی ★★★★★
23,Best_30m_BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,613.5732%,67.50,-12.00,0.451,1120,94.0/100,عالی ★★★★★
24,Best_5m_SOLUSDT,aggregated,اصلی,1,820.9103%,70.64,-12.00,0.346,2878,94.0/100,عالی ★★★★★
25,Best_1h_BTCUSDT,aggregated,اصلی,1,56.0732%,58.23,-14.00,0.295,158,88.0/100,عالی ★★★★★
26,Best_1h_BTCUSDT_ETHUSDT,aggregated,اصلی,1,110.8788%,59.11,-14.00,0.316,247,88.0/100,عالی ★★★★★
27,Best_1h_BTCUSDT_PAXGUSDT,aggregated,اصلی,1,50.3333%,55.71,-14.00,0.210,219,88.0/100,عالی ★★★★★
28,Best_1h_BTCUSDT_SOLUSDT,aggregated,اصلی,1,117.7581%,60.71,-14.00,0.360,224,88.0/100,عالی ★★★★★
29,Best_1h_BTCUSDT_XRPUSDT,aggregated,اصلی,1,139.5321%,62.50,-14.00,0.398,248,88.0/100,عالی ★★★★★
30,Best_1h_BTCUSDT_ETHUSDT_PAXGUSDT,aggregated,اصلی,1,105.1388%,57.14,-14.00,0.259,308,88.0/100,عالی ★★★★★
31,Best_1h_BTCUSDT_ETHUSDT_SOLUSDT,aggregated,اصلی,1,172.5637%,60.70,-14.00,0.358,313,88.0/100,عالی ★★★★★
32,Best_1h_BTCUSDT_ETHUSDT_XRPUSDT,aggregated,اصلی,1,194.3377%,62.02,-14.00,0.384,337,88.0/100,عالی ★★★★★
33,Best_1h_BTCUSDT_PAXGUSDT_SOLUSDT,aggregated,اصلی,1,112.0182%,58.25,-14.00,0.291,285,88.0/100,عالی ★★★★★
34,Best_1h_BTCUSDT_PAXGUSDT_XRPUSDT,aggregated,اصلی,1,133.7922%,59.87,-14.00,0.327,309,88.0/100,عالی ★★★★★
35,Best_1h_BTCUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,201.2171%,63.38,-14.00,0.418,314,88.0/100,عالی ★★★★★
36,Best_1h_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT,aggregated,اصلی,1,166.8237%,58.82,-14.00,0.307,374,88.0/100,عالی ★★★★★
37,Best_1h_BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT,aggregated,اصلی,1,188.5977%,60.05,-14.00,0.333,398,88.0/100,عالی ★★★★★
38,Best_1h_BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,256.0226%,62.78,-14.00,0.403,403,88.0/100,عالی ★★★★★
39,Best_1h_BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,195.4771%,61.07,-14.00,0.360,375,88.0/100,عالی ★★★★★
40,Best_1h_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,250.2827%,60.99,-14.00,0.358,464,88.0/100,عالی ★★★★★
41,Best_30m_BTCUSDT_PAXGUSDT,aggregated,اصلی,1,141.1801%,61.70,-14.00,0.282,530,88.0/100,عالی ★★★★★
42,Best_30m_ETHUSDT_PAXGUSDT,aggregated,اصلی,1,147.2800%,62.45,-14.00,0.319,458,88.0/100,عالی ★★★★★
43,Best_30m_PAXGUSDT_SOLUSDT,aggregated,اصلی,1,112.5455%,59.51,-14.00,0.298,326,88.0/100,عالی ★★★★★
44,Best_30m_PAXGUSDT_XRPUSDT,aggregated,اصلی,1,166.6466%,61.49,-14.00,0.305,470,88.0/100,عالی ★★★★★
45,Best_30m_BTCUSDT_ETHUSDT_PAXGUSDT,aggregated,اصلی,1,299.9403%,64.23,-14.00,0.356,822,88.0/100,عالی ★★★★★
46,Best_30m_BTCUSDT_PAXGUSDT_SOLUSDT,aggregated,اصلی,1,265.2058%,63.19,-14.00,0.349,690,88.0/100,عالی ★★★★★
47,Best_30m_BTCUSDT_PAXGUSDT_XRPUSDT,aggregated,اصلی,1,319.3069%,63.67,-14.00,0.344,834,88.0/100,عالی ★★★★★
48,Best_30m_ETHUSDT_PAXGUSDT_SOLUSDT,aggregated,اصلی,1,271.3058%,63.92,-14.00,0.382,618,88.0/100,عالی ★★★★★
49,Best_30m_ETHUSDT_PAXGUSDT_XRPUSDT,aggregated,اصلی,1,325.4068%,64.30,-14.00,0.370,762,88.0/100,عالی ★★★★★
50,Best_30m_PAXGUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,290.6723%,63.17,-14.00,0.369,630,88.0/100,عالی ★★★★★
51,Best_30m_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT,aggregated,اصلی,1,423.9661%,64.87,-14.00,0.388,982,88.0/100,عالی ★★★★★
52,Best_30m_BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT,aggregated,اصلی,1,478.0672%,65.01,-14.00,0.379,1126,88.0/100,عالی ★★★★★
53,Best_30m_BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,443.3326%,64.39,-14.00,0.378,994,88.0/100,عالی ★★★★★
54,Best_30m_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,449.4326%,64.97,-14.00,0.401,922,88.0/100,عالی ★★★★★
55,Best_30m_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,602.0929%,65.40,-14.00,0.400,1286,88.0/100,عالی ★★★★★
56,Best_15m_XRPUSDT,aggregated,اصلی,1,421.3134%,68.34,-8.00,0.387,875,82.0/100,عالی ★★★★★
57,Best_1h_ETHUSDT,aggregated,اصلی,1,54.8055%,60.67,-8.00,0.355,89,82.0/100,عالی ★★★★★
58,Best_1h_SOLUSDT,aggregated,اصلی,1,61.6849%,66.67,-8.00,0.494,66,82.0/100,عالی ★★★★★
59,Best_1h_ETHUSDT_PAXGUSDT,aggregated,اصلی,1,49.0656%,56.00,-8.00,0.228,150,82.0/100,عالی ★★★★★
60,Best_1h_ETHUSDT_SOLUSDT,aggregated,اصلی,1,116.4905%,63.23,-8.00,0.417,155,82.0/100,عالی ★★★★★
61,Best_1h_ETHUSDT_XRPUSDT,aggregated,اصلی,1,138.2645%,65.36,-8.00,0.453,179,82.0/100,عالی ★★★★★
62,Best_1h_PAXGUSDT_SOLUSDT,aggregated,اصلی,1,55.9450%,58.27,-8.00,0.291,127,82.0/100,عالی ★★★★★
63,Best_1h_PAXGUSDT_XRPUSDT,aggregated,اصلی,1,77.7190%,61.59,-8.00,0.358,151,82.0/100,عالی ★★★★★
64,Best_1h_SOLUSDT_XRPUSDT,aggregated,اصلی,1,145.1438%,68.59,-8.00,0.529,156,82.0/100,عالی ★★★★★
65,Best_1h_ETHUSDT_PAXGUSDT_SOLUSDT,aggregated,اصلی,1,110.7505%,59.26,-8.00,0.319,216,82.0/100,عالی ★★★★★
66,Best_1h_ETHUSDT_PAXGUSDT_XRPUSDT,aggregated,اصلی,1,132.5245%,61.25,-8.00,0.356,240,82.0/100,عالی ★★★★★
67,Best_1h_ETHUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,199.9494%,65.71,-8.00,0.465,245,82.0/100,عالی ★★★★★
68,Best_1h_PAXGUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,139.4039%,63.13,-8.00,0.403,217,82.0/100,عالی ★★★★★
69,Best_1h_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,194.2094%,62.42,-8.00,0.388,306,82.0/100,عالی ★★★★★
70,Best_30m_BTCUSDT,aggregated,اصلی,1,152.6603%,66.48,-8.00,0.401,364,82.0/100,عالی ★★★★★
71,Best_30m_ETHUSDT,aggregated,اصلی,1,158.7603%,68.84,-8.00,0.480,292,82.0/100,عالی ★★★★★
72,Best_30m_SOLUSDT,aggregated,اصلی,1,124.0257%,68.12,-8.00,0.539,160,82.0/100,عالی ★★★★★
73,Best_30m_BTCUSDT_ETHUSDT,aggregated,اصلی,1,311.4206%,67.53,-8.00,0.437,656,82.0/100,عالی ★★★★★
74,Best_30m_BTCUSDT_SOLUSDT,aggregated,اصلی,1,276.6861%,66.98,-8.00,0.444,524,82.0/100,عالی ★★★★★
75,Best_30m_ETHUSDT_SOLUSDT,aggregated,اصلی,1,282.7860%,68.58,-8.00,0.499,452,82.0/100,عالی ★★★★★
76,Best_30m_BTCUSDT_ETHUSDT_SOLUSDT,aggregated,اصلی,1,435.4463%,67.65,-8.00,0.457,816,82.0/100,عالی ★★★★★
77,Best_5m_ETHUSDT,aggregated,اصلی,1,1365.2640%,68.98,-16.00,0.310,6293,82.0/100,عالی ★★★★★
78,Best_5m_XRPUSDT,aggregated,اصلی,1,1061.7262%,67.56,-16.00,0.294,4753,82.0/100,عالی ★★★★★
79,Best_5m_ETHUSDT_PAXGUSDT,aggregated,اصلی,1,1354.1726%,66.74,-16.00,0.254,7744,82.0/100,عالی ★★★★★
80,Best_5m_ETHUSDT_SOLUSDT,aggregated,اصلی,1,2186.1743%,69.50,-16.00,0.321,9171,82.0/100,عالی ★★★★★
81,Best_5m_ETHUSDT_XRPUSDT,aggregated,اصلی,1,2426.9903%,68.37,-16.00,0.302,11046,82.0/100,عالی ★★★★★
82,Best_5m_PAXGUSDT_SOLUSDT,aggregated,اصلی,1,809.8188%,66.07,-16.00,0.243,4329,82.0/100,عالی ★★★★★
83,Best_5m_PAXGUSDT_XRPUSDT,aggregated,اصلی,1,1050.6348%,65.09,-16.00,0.231,6204,82.0/100,عالی ★★★★★
84,Best_5m_SOLUSDT_XRPUSDT,aggregated,اصلی,1,1882.6365%,68.72,-16.00,0.314,7631,82.0/100,عالی ★★★★★
85,Best_5m_ETHUSDT_PAXGUSDT_SOLUSDT,aggregated,اصلی,1,2175.0829%,67.79,-16.00,0.281,10622,82.0/100,عالی ★★★★★
86,Best_5m_ETHUSDT_PAXGUSDT_XRPUSDT,aggregated,اصلی,1,2415.8988%,67.05,-16.00,0.270,12497,82.0/100,عالی ★★★★★
87,Best_5m_ETHUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,3247.9005%,68.84,-16.00,0.312,13924,82.0/100,عالی ★★★★★
88,Best_5m_PAXGUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,1871.5451%,66.85,-16.00,0.270,9082,82.0/100,عالی ★★★★★
89,Best_5m_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,3236.8091%,67.72,-16.00,0.285,15375,82.0/100,عالی ★★★★★
90,Best_5m_BTCUSDT,aggregated,اصلی,1,963.3179%,66.97,-18.00,0.232,6351,76.0/100,خوب ★★★★
91,Best_5m_BTCUSDT_ETHUSDT,aggregated,اصلی,1,2328.5820%,67.97,-18.00,0.272,12644,76.0/100,خوب ★★★★
92,Best_5m_BTCUSDT_PAXGUSDT,aggregated,اصلی,1,952.2265%,65.11,-18.00,0.189,7802,76.0/100,خوب ★★★★
93,Best_5m_BTCUSDT_SOLUSDT,aggregated,اصلی,1,1784.2282%,68.11,-18.00,0.271,9229,76.0/100,خوب ★★★★
94,Best_5m_BTCUSDT_XRPUSDT,aggregated,اصلی,1,2025.0442%,67.22,-18.00,0.260,11104,76.0/100,خوب ★★★★
95,Best_5m_BTCUSDT_ETHUSDT_PAXGUSDT,aggregated,اصلی,1,2317.4905%,66.84,-18.00,0.244,14095,76.0/100,خوب ★★★★
96,Best_5m_BTCUSDT_ETHUSDT_SOLUSDT,aggregated,اصلی,1,3149.4923%,68.46,-18.00,0.286,15522,76.0/100,خوب ★★★★
97,Best_5m_BTCUSDT_ETHUSDT_XRPUSDT,aggregated,اصلی,1,3390.3082%,67.86,-18.00,0.278,17397,76.0/100,خوب ★★★★
98,Best_5m_BTCUSDT_PAXGUSDT_SOLUSDT,aggregated,اصلی,1,1773.1368%,66.60,-18.00,0.236,10680,76.0/100,خوب ★★★★
99,Best_5m_BTCUSDT_PAXGUSDT_XRPUSDT,aggregated,اصلی,1,2013.9527%,66.04,-18.00,0.231,12555,76.0/100,خوب ★★★★
100,Best_5m_BTCUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,2845.9544%,67.92,-18.00,0.279,13982,76.0/100,خوب ★★★★
101,Best_5m_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT,aggregated,اصلی,1,3138.4008%,67.48,-18.00,0.263,16973,76.0/100,خوب ★★★★
102,Best_5m_BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT,aggregated,اصلی,1,3379.2168%,67.02,-18.00,0.257,18848,76.0/100,خوب ★★★★
103,Best_5m_BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,4211.2185%,68.25,-18.00,0.288,20275,76.0/100,خوب ★★★★
104,Best_5m_BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,2834.8630%,66.90,-18.00,0.255,15433,76.0/100,خوب ★★★★
105,Best_5m_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,4200.1270%,67.50,-18.00,0.270,21726,76.0/100,خوب ★★★★
106,Best_15m_ETHUSDT,aggregated,اصلی,1,335.8740%,66.56,-10.00,0.387,927,70.0/100,خوب ★★★★
107,Best_15m_BTCUSDT_PAXGUSDT,aggregated,اصلی,1,325.7555%,63.43,-20.00,0.272,1471,70.0/100,خوب ★★★★
108,Best_15m_ETHUSDT_PAXGUSDT,aggregated,اصلی,1,299.3285%,62.25,-20.00,0.261,1351,70.0/100,خوب ★★★★
109,Best_15m_ETHUSDT_XRPUSDT,aggregated,اصلی,1,757.1874%,67.43,-10.00,0.383,1802,70.0/100,خوب ★★★★
110,Best_15m_PAXGUSDT_SOLUSDT,aggregated,اصلی,1,228.4857%,59.61,-20.00,0.205,921,70.0/100,خوب ★★★★
111,Best_15m_PAXGUSDT_XRPUSDT,aggregated,اصلی,1,384.7679%,63.28,-20.00,0.271,1299,70.0/100,خوب ★★★★
112,Best_15m_BTCUSDT_ETHUSDT_PAXGUSDT,aggregated,اصلی,1,661.6295%,64.64,-20.00,0.319,2398,70.0/100,خوب ★★★★
113,Best_15m_BTCUSDT_PAXGUSDT_SOLUSDT,aggregated,اصلی,1,590.7867%,63.92,-20.00,0.286,1968,70.0/100,خوب ★★★★
114,Best_15m_BTCUSDT_PAXGUSDT_XRPUSDT,aggregated,اصلی,1,747.0689%,65.26,-20.00,0.317,2346,70.0/100,خوب ★★★★
115,Best_15m_ETHUSDT_PAXGUSDT_SOLUSDT,aggregated,اصلی,1,564.3597%,63.10,-20.00,0.282,1848,70.0/100,خوب ★★★★
116,Best_15m_ETHUSDT_PAXGUSDT_XRPUSDT,aggregated,اصلی,1,720.6419%,64.65,-20.00,0.314,2226,70.0/100,خوب ★★★★
117,Best_15m_PAXGUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,649.7992%,63.86,-20.00,0.294,1796,70.0/100,خوب ★★★★
118,Best_15m_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT,aggregated,اصلی,1,926.6607%,64.77,-20.00,0.316,2895,70.0/100,خوب ★★★★
119,Best_15m_BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT,aggregated,اصلی,1,1082.9429%,65.63,-20.00,0.336,3273,70.0/100,خوب ★★★★
120,Best_15m_BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,1012.1001%,65.28,-20.00,0.319,2843,70.0/100,خوب ★★★★
121,Best_15m_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,985.6731%,64.78,-20.00,0.318,2723,70.0/100,خوب ★★★★
122,Best_15m_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,1347.9741%,65.60,-20.00,0.333,3770,70.0/100,خوب ★★★★
123,Dtsv_ETHUSDT_XRPUSDT,aggregated,اصلی,1,2.2173%,62.50,-10.00,0.166,16,70.0/100,خوب ★★★★
124,Dtsv_ETHUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,1.9172%,61.11,-10.00,0.133,18,70.0/100,خوب ★★★★
125,Dtsv_BTCUSDT_XRPUSDT,aggregated,اصلی,1,0.9523%,52.63,-6.00,0.060,19,54.0/100,متوسط ★★★
126,Dtsv_BTCUSDT_SOLUSDT_XRPUSDT,aggregated,اصلی,1,0.6522%,52.38,-6.00,0.038,21,54.0/100,متوسط ★★★
127,Dtsv_BTCUSDT_INV,aggregated,معکوس,1,-3.1984%,66.67,-4.00,-0.208,12,30.0/100,ضعیف ★★
128,Dtsv_SOLUSDT,aggregated,اصلی,1,-0.3000%,50.00,-2.00,-0.236,2,30.0/100,ضعیف ★★
129,Dtsv_SOLUSDT_INV,aggregated,معکوس,1,-1.3998%,50.00,-2.00,-0.381,2,30.0/100,ضعیف ★★
130,Dtsv_BTCUSDT_SOLUSDT_INV,aggregated,معکوس,1,-4.5982%,64.29,-4.00,-0.254,14,30.0/100,ضعیف ★★
131,Best_1h_PAXGUSDT_INV,aggregated,معکوس,1,-40.7907%,50.82,-12.00,-0.504,61,24.0/100,ضعیف ★★
132,Dtsv_BTCUSDT,aggregated,اصلی,1,-3.1364%,33.33,-6.00,-0.484,12,24.0/100,ضعیف ★★
133,Dtsv_BTCUSDT_SOLUSDT,aggregated,اصلی,1,-3.4365%,35.71,-6.00,-0.464,14,24.0/100,ضعیف ★★
134,Best_30m_PAXGUSDT,aggregated,اصلی,1,-11.4802%,51.20,-14.00,-0.126,166,18.0/100,بسیار ضعیف ★
135,Best_1h_BTCUSDT_INV,aggregated,معکوس,1,-136.9641%,41.77,-16.00,-0.626,158,12.0/100,بسیار ضعیف ★
136,Best_1h_PAXGUSDT,aggregated,اصلی,1,-5.7399%,49.18,-8.00,-0.150,61,12.0/100,بسیار ضعیف ★
137,Best_1h_SOLUSDT_INV,aggregated,معکوس,1,-62.3198%,33.33,-16.00,-0.599,66,12.0/100,بسیار ضعیف ★
138,Best_1h_BTCUSDT_PAXGUSDT_INV,aggregated,معکوس,1,-177.7548%,44.29,-16.00,-0.593,219,12.0/100,بسیار ضعیف ★
139,Best_1h_BTCUSDT_SOLUSDT_INV,aggregated,معکوس,1,-199.2839%,39.29,-16.00,-0.618,224,12.0/100,بسیار ضعیف ★
140,Best_1h_PAXGUSDT_SOLUSDT_INV,aggregated,معکوس,1,-103.1105%,41.73,-16.00,-0.555,127,12.0/100,بسیار ضعیف ★
141,Best_1h_BTCUSDT_PAXGUSDT_SOLUSDT_INV,aggregated,معکوس,1,-240.0746%,41.75,-16.00,-0.594,285,12.0/100,بسیار ضعیف ★
